"Rank","Domain"
"52","youtu.be"
"1580","hln.be"
"2299","www.hln.be"
"3259","geoedge.be"
"3576","google.be"
"4075","vrt.be"
"7065","telenet-ops.be"
"7277","skynet.be"
"7534","com.be"
"7552","nieuwsblad.be"
"8521","dhnet.be"
"8788","kuleuven.be"
"9165","2dehands.be"
"9203","telenet.be"
"9453","sudinfo.be"
"9510","rtbf.be"
"9621","belgium.be"
"9644","sporza.be"
"9998","napoleonsports.be"
"10511","immoweb.be"
"10645","www.google.be"
"11881","ugent.be"
"12859","www.vrt.be"
"12965","www.amazon.com.be"
"13208","www.2dehands.be"
"13213","redlights.be"
"13509","quartier-rouge.be"
"13584","www.dhnet.be"
"13594","www.immoweb.be"
"13857","m.nieuwsblad.be"
"13897","www.sudinfo.be"
"15213","www.quartier-rouge.be"
"15214","www.redlights.be"
"16595","mobilevikings.be"
"16704","lesoir.be"
"16992","rumcdn.geoedge.be"
"18541","fgov.be"
"19111","lalibre.be"
"19669","vlaanderen.be"
"19881","demorgen.be"
"19887","jetengine.be"
"21604","proximus.be"
"21766","gva.be"
"21801","rtl.be"
"22095","gw.geoedge.be"
"23042","2ememain.be"
"23123","logi-technic.be"
"23609","7sur7.be"
"24438","zimmo.be"
"24584","rdcu.be"
"24673","unleashed.be"
"24714","nowjobs.be"
"24812","autoscout24.be"
"24863","napoleongames.be"
"25020","belnet.be"
"25822","smartnews.be"
"26195","zalando.be"
"27368","uclouvain.be"
"27491","nintendo.be"
"27508","standaard.be"
"27571","ulb.ac.be"
"28685","nsset.be"
"28778","blogspot.be"
"29826","www.zalando.be"
"30013","jvanbreda.be"
"30336","redactie24.be"
"31499","www.nieuwsblad.be"
"31972","www.2ememain.be"
"32036","idp.iamfas.belgium.be"
"32139","www.lesoir.be"
"32189","www.rtbf.be"
"32246","fr.zalando.be"
"32255","www.redactie24.be"
"32333","www.demorgen.be"
"32356","www.lalibre.be"
"32438","www.7sur7.be"
"32622","www.rtl.be"
"32681","www.zimmo.be"
"32758","www.autoscout24.be"
"32924","antwerpen.be"
"33037","buienradar.be"
"33413","m.gva.be"
"35386","www.buienradar.be"
"36078","dknadmin.be"
"37071","uliege.be"
"37765","ulg.ac.be"
"38473","belgacom.be"
"38540","orange.be"
"39526","ebay.be"
"40079","scarlet.be"
"40288","tijd.be"
"40559","vub.ac.be"
"41015","brusselsairport.be"
"41602","ing.be"
"42146","dpgmedia.be"
"42690","wallonie.be"
"43183","seld.be"
"43743","newpharma.be"
"45577","brutele.be"
"45582","uantwerpen.be"
"45901","lecho.be"
"45914","monster.be"
"46102","isabel.be"
"46375","knack.be"
"46579","kruidvat.be"
"46621","ucl.ac.be"
"46648","pandora.be"
"47090","hbvl.be"
"47307","voo.be"
"48664","mediahuis.be"
"48984","napoleoncasino.be"
"49964","easyhost.be"
"50553","bnpparibasfortis.be"
"51609","bpost.be"
"52103","billit.be"
"52283","gamma.be"
"52416","coolblue.be"
"52587","vtm.be"
"52983","humo.be"
"53846","kbc.be"
"54275","reserva.be"
"54703","jimmobile.be"
"55198","bioimagingcore.be"
"55205","classy.be"
"55947","vikingdeals.be"
"56042","register.be"
"56335","surfe.be"
"57194","mhtr.be"
"58133","vdab.be"
"58237","meteo.be"
"58713","kinepolis.be"
"59127","amazon.com.be"
"60160","base.be"
"60854","delijn.be"
"61639","mailprotect.be"
"62922","colruyt.be"
"63553","tripadvisor.be"
"64042","tktn.be"
"64199","levif.be"
"66002","fci.be"
"67475","kuleuven.ac.be"
"68158","vtmgo.be"
"68369","nationale-loterij.be"
"69479","waq.be"
"70160","belbone.be"
"70433","ulb.be"
"71016","loterie-nationale.be"
"71426","belgiantrain.be"
"71736","vinted.be"
"71935","napoleondice.be"
"72014","jobat.be"
"73229","collectandgo.be"
"73731","mediamarkt.be"
"73954","belfius.be"
"74074","brico.be"
"74365","torfs.be"
"74434","stib-mivb.be"
"74904","delhaize.be"
"76166","starcasino.be"
"76961","tadaam.be"
"77444","vub.be"
"77635","engie.be"
"77712","vrtcdn.be"
"78381","hubo.be"
"78419","water-link.be"
"78460","bithumen.be"
"78528","tui.be"
"79351","tuifly.be"
"80276","immovlan.be"
"80295","mobistar.be"
"80543","skynetblogs.be"
"80890","standaardboekhandel.be"
"80915","test-aankoop.be"
"81319","irisnet.be"
"82245","hogent.be"
"82888","farmaline.be"
"83450","axa.be"
"84589","vandenborre.be"
"84836","test-achats.be"
"85046","parismatch.be"
"85312","gratisafhalen.be"
"85929","smartschool.be"
"86628","iciparisxl.be"
"86939","lidl.be"
"87289","libelle-lekker.be"
"89362","carrefour.be"
"89891","dreamland.be"
"89982","letec.be"
"90258","made-in.be"
"90612","hoo.be"
"91970","ah.be"
"93541","destiny.be"
"94440","streamz.be"
"95559","rescue.waq.be"
"96515","yt.be"
"96624","argenta.be"
"96752","voetbalnieuws.be"
"97272","laredoute.be"
"98529","rtlplay.be"
"99056","roularta.be"
"99225","uzleuven.be"
"99989","bingel.be"
"100320","zxcs.be"
"101247","named.be"
"101497","walfoot.be"
"101813","quefaire.be"
"101926","meteovista.be"
"102483","voetbal24.be"
"102556","fluvius.be"
"102688","mypension.be"
"103464","companyweb.be"
"103617","yewtu.be"
"104370","nbb.be"
"105628","girogate.be"
"106713","voetbalprimeur.be"
"107501","online-essentials.be"
"107504","openprovider.be"
"107674","mail.telenet.be"
"109462","kiabi.be"
"109649","www.smartnews.be"
"110551","www.tijd.be"
"111127","reference.be"
"111619","www.proximus.be"
"111626","www.standaard.be"
"112052","myprivacy.dpgmedia.be"
"112553","tennisenpadelvlaanderen.be"
"112948","electrodepot.be"
"112953","wrappers.geoedge.be"
"114019","secure.telenet.be"
"114115","ticketmaster.be"
"114219","auvio.rtbf.be"
"114272","www.gva.be"
"114980","circus-casino.be"
"115820","doccle.be"
"115897","www.bnpparibasfortis.be"
"116055","stubru.be"
"116275","www.meteo.be"
"116618","deredactie.be"
"116655","www.vlaanderen.be"
"117424","jysk.be"
"118018","www.vinted.be"
"118222","www.hbvl.be"
"118415","www.vdab.be"
